chrom	length	bases	mean	min	max
GL000196.1_region	38914	693800	17.83	0	37
GL000248.1	39786	739262	18.58	0	56
GL000248.1_region	39786	739262	18.58	0	56
GL000244.1	39929	1562031	39.12	0	117
GL000244.1_region	39929	1562031	39.12	0	117
GL000238.1	39939	768588	19.24	0	60
GL000238.1_region	39939	768588	19.24	0	60
GL000202.1	40103	1078737	26.90	0	61
GL000202.1_region	40103	1078737	26.90	0	61
GL000234.1	40531	2923695	72.13	0	156
GL000234.1_region	40531	2923695	72.13	0	156
GL000232.1	40652	2827309	69.55	0	205
GL000232.1_region	40652	2827309	69.55	0	205
GL000206.1	41001	766187	18.69	0	63
GL000206.1_region	41001	766187	18.69	0	63
GL000240.1	41933	2290695	54.63	0	194
GL000240.1_region	41933	2290695	54.63	0	194
GL000236.1	41934	871583	20.78	0	50
GL000236.1_region	41934	871583	20.78	0	50
GL000241.1	42152	3220252	76.40	5	270
GL000241.1_region	42152	3220252	76.40	5	270
GL000243.1	43341	3203506	73.91	0	284
GL000243.1_region	43341	3203506	73.91	0	284
GL000242.1	43523	743706	17.09	0	48
GL000242.1_region	43523	743706	17.09	0	48
GL000230.1	43691	833628	19.08	0	83
GL000230.1_region	43691	833628	19.08	0	83
GL000237.1	45867	7053839	153.79	0	338
GL000237.1_region	45867	7053839	153.79	0	338
GL000233.1	45941	713875	15.54	0	70
GL000233.1_region	45941	713875	15.54	0	70
GL000204.1	81310	2286710	28.12	0	61
GL000204.1_region	81310	2286710	28.12	0	61
GL000198.1	90085	4376844	48.59	0	149
GL000198.1_region	90085	4376844	48.59	0	149
GL000208.1	92689	13264127	143.10	0	4166
GL000208.1_region	92689	13264127	143.10	0	4166
GL000191.1	106433	2260566	21.24	0	62
GL000191.1_region	106433	2260566	21.24	0	62
GL000227.1	128374	2580893	20.10	0	73
GL000227.1_region	128374	2580893	20.10	0	73
GL000228.1	129120	9053889	70.12	0	11166
GL000228.1_region	129120	9053889	70.12	0	11166
GL000214.1	137718	46848421	340.18	3	3890
GL000214.1_region	137718	46848421	340.18	3	3890
GL000221.1	155397	11389680	73.29	0	223
GL000221.1_region	155397	11389680	73.29	0	223
GL000209.1	159169	3812626	23.95	0	66
GL000209.1_region	159169	3812626	23.95	0	66
GL000218.1	161147	17350556	107.67	1	229
GL000218.1_region	161147	17350556	107.67	1	229
GL000220.1	161802	322789662	1994.97	4	12962
GL000220.1_region	161802	322789662	1994.97	4	12962
GL000213.1	164239	2672003	16.27	0	60
GL000213.1_region	164239	2672003	16.27	0	60
GL000211.1	166566	6334207	38.03	0	157
GL000211.1_region	166566	6334207	38.03	0	157
GL000199.1	169874	54326211	319.80	0	16295
GL000199.1_region	169874	54326211	319.80	0	16295
GL000217.1	172149	5583015	32.43	0	154
GL000217.1_region	172149	5583015	32.43	0	154
GL000216.1	172294	10907855	63.31	0	1260
GL000216.1_region	172294	10907855	63.31	0	1260
GL000215.1	172545	2681732	15.54	0	62
GL000215.1_region	172545	2681732	15.54	0	62
GL000205.1	174588	19303517	110.57	0	315
GL000205.1_region	174588	19303517	110.57	0	315
GL000219.1	179198	20782506	115.98	0	377
GL000219.1_region	179198	20782506	115.98	0	377
GL000224.1	179693	45964760	255.80	1	3631
GL000224.1_region	179693	45964760	255.80	1	3631
GL000223.1	180455	3886529	21.54	0	56
GL000223.1_region	180455	3886529	21.54	0	56
GL000195.1	182896	24058961	131.54	0	346
GL000195.1_region	182896	24058961	131.54	0	346
GL000212.1	186858	9368559	50.14	0	274
GL000212.1_region	186858	9368559	50.14	0	274
GL000222.1	186861	5099633	27.29	0	1020
GL000222.1_region	186861	5099633	27.29	0	1020
GL000200.1	187035	1962469	10.49	0	61
GL000200.1_region	187035	1962469	10.49	0	61
GL000193.1	189789	11414987	60.15	0	1516
GL000193.1_region	189789	11414987	60.15	0	1516
GL000194.1	191469	10240319	53.48	0	225
GL000194.1_region	191469	10240319	53.48	0	225
GL000225.1	211173	14548774	68.90	0	2784
GL000225.1_region	211173	14548774	68.90	0	2784
GL000192.1	547496	19066683	34.83	0	653
GL000192.1_region	547496	19066683	34.83	0	653
NC_007605	171823	859	0.00	0	14
NC_007605_region	171823	859	0.00	0	14
hs37d5	35477943	4386217932	123.63	0	62732
hs37d5_region	35477943	4386217932	123.63	0	62732
total	3137454505	107940329095	34.40	0	62732
total_region	3137454505	107940329095	34.40	0	62732
